Job title,Experience,Technologies,Views,Salary
Python Backend Developer,3,"Django, Django Rest Framework, SQL, PostgreSQL, RestAPI, ElasticSearch, Python3",97,
Senior Software Engineer (Python),,"AI, Python, ETL",32,
Python Team Lead,,"Python, SQL, NoSQL, Apache Kafka, BigQuery",29,
Python Developer,,,130,
Middle Full Stack Developer,3,,32,
Middle Backend Developer,2,"Backend Developer, Middle Backend Developer, Python, FastAPI, PostgreSQL, GraphQL, Django",60,до $2500
MLOps,,,11,
Content Scraping Developer (Only Ivano--Frankivsk),,"Python, Web Scraping, Scrapy",165,
Python Developer,3,"Python / Django, Python3, Python",79,
Senior Backend Developer (Python),3,"Flask, Python, AWS, cybersecurity, REST API",52,
Middle Python Engineer,3,"Python, Kubernetes, Flask",89,$3000-4500
Odoo Developer (Middle/Senior),,Odoo,123,
Бекенд розробник в команду Джина (Python/Django),,"Django, Python / Django",2056,від $4000
Expert (Team Lead) Python Developer,,"python, Team Lead, AWS, Networking, OOP, Docker",16,
Junior/Middle Python Developer (with C++ knowledge),,"Python, C++",155,
Middle/Senior Full-stack Python Developer,2,"Python, React, AWS, Microservices, Django",121,до $3500
Machine Learning Engineer,3,,25,
Middle Full Stack (Python/Django + Vue.js) Developer,2,"Python / Django, Vue.js, bitbucket pipelines",236,
Senior Python Developer,,"Python, Django",60,
Middle/Senior Python Developer,3,"Python, AWS, AWS Lambda, Terraform, AWS CloudFormation, Docker",53,
Middle Python Developer,2,,30,
Senior FullStack (Python+React) Developer,3,"Python, React",16,
Lead Python Engineer,,"Python, AWS, CI/CD, Apache, Docker",16,
Middle/Senior Python Developer,2,"Python, Flask, FastAPI, DJango, Kubernetes, Elasticsearch",137,
Middle Python Software Engineer (Prom.ua),2,,58,
Senior Python Developer,2,"Python, Machine Learning, AI",64,
Python Tech Lead,,"Python, Big Data, AWS, Jenkins, SQL, API, OpenAPI",21,від $5500
QA Automation Engineer,3,"Python, Automated Testing, automation, QA, Networking, Linux, Embedded",38,
Senior Python Engineer,,"Python, Django, AWS",13,$5000-5800
ML Engineer,2,"AI, Artificial Intelligence, Machine Learning, Python",75,
"Senior Full Stack Developer (Python, ReactJS)",,"Full-stack Web Development, Python, React JS, React.js, Python3",17,
Python developer,,Python,108,$5000-6000
Middle Python Developer,3,"Machine Learning, Python3, RESTful API, Flask",85,
Senior Python Developer,,,23,$4000-5000
Python developer,2,"Django, Django REST API, Python / Django, DRF, AWS, Docker, Docker Compose",154,
Junior Developer,2,"Cloud, AWS, Google Cloud Platform, Backend development, Java, Python",401,
"Back end developer Python, Django 5+(Armenia location)",,,42,
Quality Assurance Architect (Networking),,"Architect, Python, Pytest, Linux, Networking, automation, L2/L3",8,
Middle\Senior Backend Engineer ( Python),3,"Senior Backend Engineer ( Python), Middle Backend Developer",157,$3000-5000
Tech Lead/Senior Strong FS Engineer (Python/React),,,15,
Senior Python Developer,,,15,до $4000
"Middle+ Python Developer (Web Scraping, Data Processing)",2,"Python, Web Scraping, Data Engineer, Data Analysis",141,
"Senior Python Developer (It is ideal to hire a team of Senior Backend Developer (Python) and Senior Frontend Developer (JavaScript, Vue.js))",,"Python, Senior Frontend Developer, JavaScript, Vue.js",43,
Full-Stack Developer,3,"Java Script, pyton, AI, Saas",30,
JobTestPrep - Back-end Developer (Python),,"python, React",32,
Middle Python Developer,3,"Python, AWS Lambda, Amazon Web Services, API, Amazon S3",253,
Odoo/Python Developer,3,,65,
Python Data Developer,2,,154,
Machine Learning Engineer,2,"Machine Learning, AI",74,
Power BI Developer,3,"Power BI, AWS, SQL, SAP",36,
Python developer to join cybersecurity company,3,"Python, Docker / Docker Compose, jQuery, Django",118,
Python BackEnd developer,2,"Python, Python3, back-end, Backend development, fashion industry, B2B, SaaS",115,
Back-end developer,3,"Python, AI",43,
Senior Python developer,3,"Django, PostgreSQL, Elasticsearch, Redis",14,
Lead Python Engineer,,,61,
Python developer,3,"back-end, Python / Django",85,
Python Software Developer (Bucharest),3,,10,
Senior Python Engineer with DevOps,3,,8,
Python developer with Cloudflare,,"Security, Networking, Python, HTTP, Terraform",48,
Senior Python Engineer,3,"Python, Python3, Python/Django/Django-rest-framework, FastAPI, AWS, GCP, Azure",69,
Tech Lead (Python),,,50,
Middle Python Developer,3,,58,
Python Developer,3,"Python, Flask, AWS, API",56,
Senior Python Developer,,,10,
Senior Python Engineer,3,Python,91,
